first_name,last_name,state,gender,birthdate
Howard,Coleman,Illinois,M,1957-07-30
Darryl,Woods,Colorado,M,1962-06-26
Steven,West,Massachusetts,M,1952-12-13
Nicole,Houston,Idaho,F,1958-05-21
Catherine,Ramos,Colorado,F,1952-01-17
John,Novak,New York,M,1965-04-23
Ray,Brown,Colorado,M,1951-09-05
Samantha,Wright,Pennsylvania,F,1948-03-10
Luis,Cannon,Kentucky,M,1967-04-15
Kevin,Powell,North Carolina,M,1961-02-27
Susan,Holloway,Arizona,F,1974-01-01
Mary,Parker,Pennsylvania,F,1951-06-05
James,Long,Ohio,M,1963-09-15
Carolyn,Hernandez,Arizona,F,1970-07-03
Patrick,Taylor,Alabama,M,1934-02-21
Gabrielle,Olsen,New Jersey,F,1981-05-15
David,Alexander,Florida,M,1947-01-18
Micheal,Melendez,Massachusetts,M,1962-02-21
Michael,Montes,Rhode Island,M,1956-05-20
Trevor,Waters,Missouri,M,1920-12-25
William,Shaffer,Arizona,M,1957-05-26
Jeanne,Young,Georgia,F,1966-10-25
Michael,Moreno,Washington,M,1950-08-12
Michael,Booth,California,M,1963-06-20
Michael,White,California,M,1941-10-24
Barry,Wells,Utah,M,1938-01-17
Angel,Horton,Washington,F,1957-02-08
Thomas,Hughes,Illinois,M,1962-02-23
Justin,Dalton,Texas,M,1956-01-19
Daniel,Hill,Illinois,M,1966-01-24
Joyce,Wong,Maine,F,1950-10-29
Laura,Kim,Michigan,F,1951-02-01
Gabriella,Blanchard,New York,F,1961-02-17
Chelsea,Taylor,Florida,F,1961-11-21
Daniel,Rodriguez,Ohio,M,1960-12-19
John,Pruitt,Texas,M,1929-07-11
Manuel,Johnson,California,M,1943-03-04
Anita,Moore,Missouri,F,1971-03-05
Sean,Hicks,Texas,M,1972-12-29
Lori,Moran,Montana,F,1960-03-08
Scott,Warren,Kansas,M,1935-05-31
Brian,Lawson,Ohio,M,1970-07-07
Alexandria,Willis,Arizona,F,1978-07-13
Michael,Dennis,Florida,M,1956-09-01
Heather,Owens,Indiana,F,1965-03-23
Darryl,Wong,Maryland,M,1971-12-28
Michael,Reed,Kentucky,M,1969-07-29
Darren,Carter,Arizona,M,1961-04-18
Crystal,Navarro,Ohio,F,1971-07-13
Kim,Carter,New York,F,1964-07-24
Misty,Carter,New York,F,1946-02-11
Russell,Espinoza,Texas,M,1958-03-13
Paul,Lawrence,New York,M,1954-05-01
Antonio,Wright,Kentucky,M,1962-02-15
Robert,Washington,Pennsylvania,M,1942-08-24
Michael,Baker,Texas,M,1961-03-01
Joseph,Jones,Kentucky,M,1977-04-09
Susan,Arnold,Ohio,F,1980-03-05
Margaret,Spencer,Ohio,F,1957-04-03
Patrick,Johnson,Illinois,M,1945-11-23
Wendy,Allen,Arizona,F,1975-06-06
David,Bernard,Florida,M,1967-10-03
Tracey,Perez,Louisiana,F,1969-02-14
Joseph,Webb,New Hampshire,M,1969-02-20
Ricky,Smith,Minnesota,M,1974-12-06
Robert,Miller,New Mexico,M,1963-12-18
Lorraine,Smith,New York,F,1957-03-30
Cynthia,Thomas,California,F,1950-08-13
Karen,Chapman,New York,F,1958-08-23
Devon,Howell,Arizona,M,1955-02-20
Cassandra,Parker,Oklahoma,F,1968-02-17
Adam,Walker,Maine,M,1975-01-05
Brian,Benitez,Illinois,M,1963-05-25
James,Smith,Wisconsin,M,1965-10-18
Christopher,Norris,Iowa,M,1968-09-30
Kevin,Roberts,Arkansas,M,1977-04-26
John,Brown,Minnesota,M,1969-08-04
Wendy,Francis,New York,F,1956-03-11
Edward,Rodriguez,District of Columbia,M,1968-08-23
Jill,Peterson,New Jersey,F,1954-10-24
Albert,Harris,Georgia,M,1973-04-01
Nicole,Willis,Minnesota,F,1945-03-17
Amanda,Harris,North Carolina,F,1936-04-18
Jon,Vazquez,Utah,M,1950-06-04
Brandy,Schmidt,Virginia,F,1945-09-10
Travis,Garrett,California,M,1972-08-18
Johnny,Walters,Maine,M,1952-01-30
Justin,Roberts,Minnesota,M,1965-07-28
Joseph,Johnson,New Jersey,M,1966-11-24
Cheryl,Miller,New Hampshire,F,1959-09-11
Dawn,Moore,Kansas,F,1967-08-25
Heather,Rogers,New Jersey,F,1968-03-24
Denise,Patel,Pennsylvania,F,1969-04-02
Jessica,Brown,Illinois,F,1964-11-30
Brandon,White,Georgia,M,1963-01-16
Anthony,Gonzalez,Montana,M,1974-06-28
Jennifer,Banks,Kansas,F,1957-12-14
Eric,Davis,Colorado,M,1978-03-27
Ashley,Ruiz,Pennsylvania,F,1980-05-16
Michael,Johnson,Tennessee,M,1948-09-06
Thomas,Miller,Arizona,M,1945-07-09
Amy,Thompson,Washington,F,1963-01-20
Michael,Williams,Kentucky,M,1964-05-21
Taylor,Johnson,Ohio,M,1956-01-23
Michael,Hoover,New Jersey,M,1933-11-18
Heather,Oconnell,Massachusetts,F,1956-09-04
Charles,Reyes,New Mexico,M,1945-10-07
Juan,Newman,Indiana,M,1964-05-17
Michael,Lewis,Virginia,M,1955-04-30
Ann,Parker,New York,F,1965-04-10
Christopher,Alexander,Virginia,M,1962-11-12
Jose,Frazier,Tennessee,M,1965-11-22
Stephen,Smith,Oklahoma,M,1979-05-17
Jessica,Johnson,Wisconsin,F,1981-12-09
Gregory,Johnson,Ohio,M,1937-09-22
Vernon,Mitchell,Ohio,M,1948-08-10
Gregory,Hardy,Louisiana,M,1952-07-10
Alexa,Pennington,Florida,F,1972-05-28
Kimberly,Burns,Texas,F,1969-06-16
Angel,Dalton,California,F,1967-08-18
Melissa,Knox,Minnesota,F,1974-10-15
Donald,Alexander,Florida,M,1972-03-31
Jeffrey,Lopez,Texas,M,1957-03-15
Jennifer,Durham,Louisiana,F,1971-11-19
David,Avila,Wisconsin,M,1965-07-31
Victoria,Solomon,Arizona,F,1953-11-28
Deborah,Jackson,Oklahoma,F,1966-05-22
Brian,White,Arizona,M,1950-08-14
Kaitlyn,Hoffman,Indiana,F,1965-01-26
Nicole,Ryan,Nebraska,F,1951-12-13
Jeremiah,Newman,Utah,M,1972-09-03
William,Lane,New York,M,1977-04-19
Adam,Moyer,Ohio,M,1959-10-18
Alejandro,Moore,Arizona,M,1942-03-15
Kenneth,Thompson,Pennsylvania,M,1914-11-25
Kevin,Downs,Pennsylvania,M,1965-06-19
Frances,Taylor,Alabama,F,1969-01-29
Douglas,Bond,Georgia,M,1962-10-15
James,Hobbs,Florida,M,1949-11-14
John,Edwards,California,M,1928-01-30
Hannah,Duran,Florida,F,1975-03-23
George,Jacobson,California,M,1981-06-22
Margaret,Humphrey,Florida,F,1944-08-12
Tracy,Graham,Colorado,F,1973-07-13
Eric,Wells,Texas,M,1973-09-14
Stacey,Jordan,Louisiana,F,1975-07-05
Jennifer,Reynolds,Massachusetts,F,1961-08-10
Michelle,Navarro,Arizona,F,1970-04-09
Meghan,Lester,New Mexico,F,1977-04-04
Jacqueline,Martin,New York,F,1977-09-17
Christopher,Chavez,North Carolina,M,1959-03-02
Cynthia,Johnson,Ohio,F,1976-06-29
Trevor,Lopez,Minnesota,M,1946-01-19
Angela,Hughes,Kansas,F,1934-05-30
Sherry,Rubio,Washington,F,1952-10-12
Kyle,Perry,New York,M,1968-08-06
Amy,Hawkins,North Carolina,F,1940-11-13
Paul,Adams,Georgia,M,1965-08-06
Kelly,Harrison,New York,F,1979-10-04
Ray,Nguyen,Florida,M,1961-08-29
Stephen,Martinez,Ohio,M,1971-03-24
Kimberly,Walker,Texas,F,1972-07-15
Brandon,Herrera,Virginia,M,1976-06-13
Brianna,Williams,Florida,F,1954-02-14
Mary,Richardson,Arizona,F,1975-07-19
Sydney,Soto,Missouri,F,1936-06-30
Andrew,Hoffman,New York,M,1943-12-11
Danny,Wilson,Maryland,M,1960-01-30
Patty,Weiss,Ohio,F,1963-06-06
Jean,Johnson,Colorado,F,1975-06-04
Michael,Weber,Ohio,M,1969-07-27
Beth,Drake,Maryland,F,1971-05-16
Vanessa,Kim,Pennsylvania,F,1960-10-07
Philip,Hunt,Pennsylvania,M,1938-12-14
Kelly,Holloway,Pennsylvania,F,1959-05-20
Reginald,Velazquez,California,M,1956-05-11
Lori,Bradley,Illinois,F,1979-11-17
Charles,Evans,Colorado,M,1981-08-20
Rebekah,Young,Georgia,F,1964-07-14
Jasmine,Raymond,New York,F,1977-05-13
Thomas,Shaw,Alabama,M,1963-07-27
Amy,Smith,New Jersey,F,1937-01-09
Edwin,Le,Kansas,M,1943-09-10
Nathaniel,White,Minnesota,M,1957-06-20
Brandy,Bell,Montana,F,1955-03-31
Mary,Williamson,New York,F,1958-05-06
Hannah,Sanders,Arizona,F,1958-03-31
Sean,Jefferson,Illinois,M,1962-01-22
Shelby,Stephens,New Mexico,F,1952-05-27
Michael,Wilson,North Carolina,M,1948-02-27
Natalie,Johnson,Michigan,F,1954-01-13
Veronica,Thomas,Colorado,F,1971-10-22
Phillip,Davis,Pennsylvania,M,1948-12-12
Jacob,Shah,Texas,M,1952-03-11
Maureen,Rodriguez,Pennsylvania,F,1945-11-16
Elizabeth,Morris,New Jersey,F,1976-02-18
Hector,Johnson,Michigan,M,1944-02-17
Raven,Mills,Indiana,F,1972-08-22
Aaron,Garrison,Missouri,M,1955-08-01
Patrick,Shaffer,Arkansas,M,1969-11-13
Alyssa,Jones,Massachusetts,F,1950-07-20
Sean,Pratt,South Carolina,M,1976-09-26
Kelly,Gilbert,Texas,F,1935-09-25
Michael,Weber,North Dakota,M,1938-05-31
James,Francis,Texas,M,1922-01-23
Shelby,Ellis,Arkansas,F,1949-02-11
Matthew,Bailey,Wisconsin,M,1981-03-09
Jimmy,Valencia,North Carolina,M,1960-10-03
Calvin,Smith,Virginia,M,1975-11-16
Tommy,Watson,Texas,M,1935-10-19
Kayla,Harvey,Wisconsin,F,1968-06-05
Michael,Simmons,Tennessee,M,1937-12-14
Ricky,Larsen,Texas,M,1959-03-04
Kenneth,Tran,Colorado,M,1981-05-26
Mark,Gonzales,Wisconsin,M,1979-08-28
Brian,Burton,Colorado,M,1977-09-01
Brenda,Smith,Iowa,F,1950-11-20
Jason,Vazquez,Massachusetts,M,1975-02-14
Kathryn,Kaufman,Michigan,F,1969-07-27
Travis,Clark,New Hampshire,M,1961-12-24
Kimberly,Cooke,Maine,F,1951-07-22
Jackie,Salazar,Alabama,F,1955-10-20
Kyle,Frank,Iowa,M,1950-12-09
Scott,Allison,Virginia,M,1952-07-22
Craig,Gibbs,Colorado,M,1943-10-04
Stephanie,Newton,North Carolina,F,1961-01-03
Gina,Pena,Minnesota,F,1915-07-17
Denise,Simpson,Massachusetts,F,1958-03-15
Joshua,Wagner,Wisconsin,M,1940-05-15
Richard,Faulkner,Florida,M,1926-05-30
Glenn,Woodward,Nevada,M,1968-03-01
Thomas,Smith,Florida,M,1965-01-30
Dakota,Edwards,North Carolina,M,1946-05-18
Katie,Bernard,Wisconsin,F,1935-10-10
Alexander,Davis,Texas,M,1935-11-17
Christina,Hawkins,Colorado,F,1980-01-14
Curtis,Clark,Idaho,M,1973-10-20
Edward,Powell,California,M,1952-12-20
Austin,Mcclain,Texas,M,1941-10-03
Jason,Carr,Idaho,M,1938-12-08
Erica,Drake,West Virginia,F,1980-04-02
Jennifer,Vargas,New York,F,1957-07-18
Joseph,Wiley,Mississippi,M,1967-10-02
Teresa,Farley,New York,F,1941-05-24
Angela,Evans,Massachusetts,F,1967-11-03
Christina,Love,Texas,F,1969-10-25
Christina,Bradford,Florida,F,1975-05-29
Whitney,Gordon,Mississippi,F,1978-09-20
Ray,King,Tennessee,M,1939-10-21
Danny,Morris,Utah,M,1956-11-12
Stephanie,Rivers,New York,F,1961-11-27
Cheyenne,West,New Jersey,F,1965-03-17
Joel,Levy,North Carolina,M,1963-01-01
Krystal,Hampton,New York,F,1952-12-27
Jeffrey,Bradley,Texas,M,1960-05-10
Ian,Williams,Michigan,M,1967-09-25
Troy,Mays,California,M,1943-05-05
Tyler,Martin,Delaware,M,1976-12-20
Angela,Wilson,Ohio,F,1965-02-22
Emily,Underwood,Michigan,F,1946-10-08
Benjamin,Tucker,Colorado,M,1950-10-20
Jerry,Allen,Florida,M,1965-06-04
Richard,Rodriguez,Washington,M,1959-10-10
Bradley,Ochoa,Florida,M,1964-09-14
Sergio,Larsen,Massachusetts,M,1945-03-30
Glenda,Allen,Louisiana,F,1974-12-28
Richard,Sullivan,Georgia,M,1977-07-22
Blake,Wilkins,Maryland,M,1936-11-15
Kimberly,Nguyen,Ohio,F,1937-05-07
Tanya,Salazar,Pennsylvania,F,1951-02-01
Nathan,Warner,Illinois,M,1973-06-13
Dennis,Hughes,Texas,M,1968-12-03
Donald,Moreno,Colorado,M,1946-07-16
Alexander,Booker,North Carolina,M,1935-06-24
Craig,Morris,South Dakota,M,1937-07-18
William,Ortega,Wisconsin,M,1978-09-15
William,Bradley,Texas,M,1978-04-03
Rhonda,James,New York,F,1953-03-20
Nathan,Bullock,Arizona,M,1968-06-01
Mark,Bowen,Arizona,M,1969-06-23
Kimberly,Livingston,New Hampshire,F,1960-01-22
Jason,Garner,California,M,1930-11-27
Rachel,Austin,Massachusetts,F,1967-09-01
Karen,Fields,Illinois,F,1949-10-22
Monica,Fernandez,Iowa,F,1969-12-08
Paula,Eaton,West Virginia,F,1942-08-29
Garrett,Tate,North Carolina,M,1956-08-10
Dawn,Freeman,California,F,1961-09-06
David,Walker,New York,M,1951-08-16
Sandra,Martin,Mississippi,F,1965-11-04
Laura,Nash,Maryland,F,1966-10-28
Katelyn,Marshall,California,F,1961-11-15
Jennifer,Farrell,California,F,1928-10-11
Matthew,Ayala,Utah,M,1980-06-08
Courtney,Morris,California,F,1965-12-05
Michael,Walker,Kansas,M,1954-07-07
Kathryn,Alvarez,Colorado,F,1965-04-02
Beth,Mitchell,Michigan,F,1967-03-31
Madison,Brown,Massachusetts,F,1952-08-01
Martin,Carter,Rhode Island,M,1960-04-01
Brandon,Harris,Utah,M,1952-11-27
Stephanie,Bridges,Georgia,F,1956-05-21
Michael,Spencer,Texas,M,1958-05-03
Rachel,Duke,Texas,F,1948-10-27
Daniel,Taylor,Pennsylvania,M,1957-04-30
Lisa,Wilkins,Alabama,F,1935-09-13
Michael,Blankenship,Alabama,M,1951-06-09
Kathleen,Taylor,New York,F,1954-02-11
Casey,Harrington,Texas,M,1939-03-16
Keith,Holt,Illinois,M,1974-12-29
Melissa,Sandoval,Tennessee,F,1979-06-18
Daniel,Woodward,Indiana,M,1940-11-08
Christopher,Lopez,Illinois,M,1954-10-17
Brian,Taylor,North Carolina,M,1959-09-10
Barbara,Moses,Wyoming,F,1958-01-12
Amy,Watson,New York,F,1969-09-10
Shannon,Holmes,New Jersey,F,1960-09-01
Heidi,Neal,Arizona,F,1957-11-14
Matthew,Wright,New York,M,1967-10-17
Maureen,Klein,Ohio,F,1978-01-10
Ryan,Sullivan,Texas,M,1934-12-12
John,Delacruz,Pennsylvania,M,1963-12-28
Michael,Ford,Minnesota,M,1951-02-06
Christopher,Grimes,Indiana,M,1962-11-23
Jennifer,Adams,New York,F,1975-10-29
Charles,Bowen,Florida,M,1963-06-15
Gabriel,Parsons,Texas,M,1944-07-04
Heather,Martin,Florida,F,1965-12-05
Greg,Gomez,Texas,M,1947-05-02
Brian,Watson,Pennsylvania,M,1939-12-19
Darrell,Thompson,Colorado,M,1941-07-06
Anthony,Orr,New Mexico,M,1963-12-02
Thomas,Wright,Wisconsin,M,1947-07-06
Danny,Miller,Indiana,M,1967-09-09
Patricia,Williams,Alabama,F,1944-05-19
Chris,Nguyen,Colorado,M,1940-05-08
David,Bowers,New York,M,1948-10-01
Grace,Munoz,New York,F,1952-02-18
William,Frazier,Oregon,M,1949-11-21
Nicole,Richards,Pennsylvania,F,1936-04-15
Samantha,Chan,New York,F,1974-04-14
Terry,Watson,Arkansas,M,1973-04-16
Christian,Williams,Washington,M,1966-04-30
Jordan,Good,Virginia,M,1957-11-10
Michael,Jenkins,Louisiana,M,1969-04-22
Gregory,Barnes,California,M,1942-06-03
Jonathan,Walker,North Carolina,M,1947-02-10
Catherine,Miller,Arizona,F,1958-03-24
William,Williams,Wisconsin,M,1954-06-17
Andrew,Martin,Indiana,M,1965-11-02
Donald,Snow,Idaho,M,1977-05-02
Vanessa,Mcknight,Alabama,F,1980-08-28
Amy,Ruiz,Arizona,F,1959-04-11
Matthew,Johnson,Florida,M,1970-04-23
Donald,Garrison,Ohio,M,1952-01-02
Richard,Davis,Wisconsin,M,1969-01-19
Joseph,Rush,West Virginia,M,1961-01-19
Patrick,Walters,Colorado,M,1953-01-01
Jason,Carter,Pennsylvania,M,1945-01-26
Matthew,Yoder,California,M,1977-08-11
Daniel,Koch,Texas,M,1922-07-12
Philip,Smith,Arizona,M,1959-05-31
Jennifer,Watts,Alabama,F,1959-03-17
Brian,Middleton,South Carolina,M,1960-08-16
Mike,Edwards,Georgia,M,1950-01-28
Brian,Adams,North Carolina,M,1966-04-18
Steven,Thompson,Iowa,M,1959-08-12
Kathryn,James,Arizona,F,1967-10-02
Sandra,Barton,Michigan,F,1957-09-25
Brandon,Hood,Indiana,M,1943-11-11
Daniel,Andrews,Indiana,M,1951-09-25
William,Medina,Texas,M,1953-03-25
Carrie,Barry,Wyoming,F,1927-01-20
Kristin,Kim,Texas,F,1976-12-01
Scott,Davis,Kansas,M,1972-09-20
Carlos,Smith,Connecticut,M,1973-07-06
Isabella,Hess,New York,F,1938-10-07
Tammy,Smith,Indiana,F,1978-10-13
Barbara,Jordan,Arizona,F,1958-06-16
Vincent,Rice,North Carolina,M,1974-12-07
Antonio,Jenkins,Georgia,M,1936-06-01
Deborah,Wilson,North Carolina,F,1957-05-04
Christopher,Flores,Tennessee,M,1918-05-08
James,Cruz,Maryland,M,1962-03-07
Mario,Shaw,Arizona,M,1977-12-05
Sally,Sanford,New Mexico,F,1964-07-22
Brandon,Gutierrez,Utah,M,1947-04-21
Erica,Smith,Kansas,F,1964-03-03
Kevin,Crosby,California,M,1963-01-02
Gary,Smith,North Carolina,M,1981-03-02
Andrew,Munoz,Florida,M,1975-07-22
Mario,Phillips,Montana,M,1939-03-09
Charles,Lawson,California,M,1960-02-02
Terry,Lee,Tennessee,F,1932-02-15
Amber,Ramirez,Idaho,F,1936-08-12
Daniel,Hill,Florida,M,1938-07-10
Andrew,Austin,Oregon,M,1957-03-12
Jasmine,Huber,North Carolina,F,1954-07-31
Ashley,Lopez,Maryland,F,1963-10-03
Robert,Jimenez,Texas,M,1968-03-22
Nathan,Lawson,Oklahoma,M,1979-08-29
Laura,Young,Delaware,F,1963-08-07
Joseph,King,Illinois,M,1969-04-18
William,Nolan,Georgia,M,1961-07-23
Tracey,Chen,Arizona,F,1945-12-11
Bryan,James,Pennsylvania,M,1956-05-05
Erika,Mcintosh,Iowa,F,1971-09-13
Steven,Davis,Florida,M,1950-04-01
Karl,Gill,Wisconsin,M,1972-01-06
Mason,Tucker,California,M,1935-01-22
Maria,Lang,New Jersey,F,1963-05-08
Gordon,Powers,California,M,1948-09-23
Deborah,Everett,Michigan,F,1964-03-18
Nicholas,Lynch,Michigan,M,1976-12-12
Evan,Hall,North Carolina,M,1963-07-18
Edward,Morgan,California,M,1966-05-03
Jessica,Rocha,Florida,F,1978-12-31
Zachary,Taylor,Michigan,M,1935-06-04
Brandon,Wilson,Pennsylvania,M,1962-07-20
Nicholas,Williamson,Missouri,M,1923-08-18
Laura,Harris,New Mexico,F,1947-04-03
Danielle,Watts,Utah,F,1979-04-09
Melissa,Schwartz,Texas,F,1967-09-04
Daniel,Graham,Arizona,M,1974-11-25
Matthew,Johnson,North Carolina,M,1979-04-21
Donald,Griffin,Mississippi,M,1944-09-17
Thomas,Bishop,Oregon,M,1970-05-02
Kathryn,Rodriguez,Virginia,F,1966-03-20
Gabriel,Graham,Virginia,M,1959-10-04
Susan,Smith,New Mexico,F,1935-04-21
Denise,Baker,California,F,1954-10-22
Tina,Edwards,Missouri,F,1967-11-14
Catherine,Watkins,Florida,F,1973-11-10
Alicia,Hart,Wisconsin,F,1967-06-12
Mary,Kelley,Missouri,F,1949-11-18
Morgan,Barrett,Pennsylvania,F,1942-07-27
Karen,Mejia,Arkansas,F,1954-04-12
Dakota,Mercado,Georgia,M,1964-08-18
Christopher,Simmons,Pennsylvania,M,1969-07-20
Amanda,Peters,Pennsylvania,F,1958-01-11
Yolanda,Burns,Louisiana,F,1967-12-05
Brian,Carlson,Arizona,M,1955-04-25
Joseph,Jackson,Kentucky,M,1962-07-11
Alan,Jordan,Ohio,M,1942-01-26
Eric,Hayes,Ohio,M,1952-06-20
Frederick,Todd,Texas,M,1977-01-04
Rodney,Copeland,Idaho,M,1969-07-16
Brenda,Davis,Georgia,F,1960-02-24
Sheila,Smith,New York,F,1970-06-12
Kevin,Hernandez,North Carolina,M,1958-11-14
Michael,Larson,Missouri,M,1967-02-16
Dean,Watson,New York,M,1954-02-05
Steve,Nash,New York,M,1959-02-02
Stephanie,Rodgers,New York,F,1965-12-09
Connie,Brown,Virginia,F,1967-08-02
Steve,Taylor,West Virginia,M,1980-01-07
Sharon,Carter,Tennessee,F,1955-09-19
Julie,Smith,Florida,F,1972-04-03
Sean,Reese,Texas,M,1971-08-02
Mark,Hansen,Georgia,M,1979-03-07
Stephanie,Schmitt,New York,F,1941-06-09
Charles,Campbell,Utah,M,1943-10-04
Chad,Johnson,Maryland,M,1942-08-23
Joel,Hall,Rhode Island,M,1946-06-25
Justin,Kelly,Texas,M,1938-07-08
Stacy,Morton,Massachusetts,F,1961-12-12
Jeffrey,Clark,Oregon,M,1981-02-24
Patricia,Wheeler,New York,F,1921-01-07
Robert,Baker,Michigan,M,1954-07-22
David,Smith,New Mexico,M,1971-05-19
Jason,Rich,Virginia,M,1975-09-03
William,Sanders,New Mexico,M,1955-11-26
Terry,Robinson,Idaho,M,1956-11-30
Dakota,Perry,New Jersey,M,1972-03-26
David,Cox,Arizona,M,1955-12-30
Donna,Smith,Louisiana,F,1976-04-16
Thomas,Campbell,South Carolina,M,1957-01-01
Robert,Lester,Wisconsin,M,1951-01-03
Lauren,Morales,Missouri,F,1980-09-11
William,Smith,Florida,M,1957-04-10
John,Key,Alabama,M,1944-12-22
Vicki,Hatfield,Pennsylvania,F,1954-09-15
Charles,Franklin,Utah,M,1935-11-03
Anthony,Jenkins,Missouri,M,1953-05-31
Chad,Velasquez,North Carolina,M,1947-07-14
Erica,Haynes,Wisconsin,F,1979-04-30
Joshua,Carey,Texas,M,1956-07-14
Johnathan,Smith,Vermont,M,1967-11-10
Warren,King,New Jersey,M,1963-05-13
Joseph,Ball,West Virginia,M,1942-05-22
Kent,Glover,Michigan,M,1973-06-27
Jason,Park,Arizona,M,1963-09-26
Jasmine,Hill,Massachusetts,F,1969-11-06
James,Thomas,Texas,M,1953-10-31
Jason,Stephens,Ohio,M,1940-11-16
Melissa,Barnes,Illinois,F,1965-06-06
Benjamin,Davidson,North Carolina,M,1975-09-07
Theodore,Williams,Minnesota,M,1956-09-28
Justin,Merritt,New Jersey,M,1946-06-18
Michael,Pham,Idaho,M,1958-09-24
Timothy,Leonard,North Carolina,M,1935-02-17
David,Hernandez,Indiana,M,1955-12-03
Amy,Reed,Louisiana,F,1978-01-06
Zachary,Joseph,Iowa,M,1969-01-23
Antonio,Shaw,Georgia,M,1962-10-11
Alexander,Chang,North Carolina,M,1954-04-26
Edward,Brown,Indiana,M,1974-07-01
Stephen,Lopez,Michigan,M,1959-02-08
Dawn,Hensley,Arkansas,F,1964-04-04
Duane,Thompson,Massachusetts,M,1936-06-13
Carol,Beard,Florida,F,1943-04-07
